code,ms_name,ms_category,ms_investment_style,ms_id
100663,UTI Core Equity Reg IDCW-R,Large & Mid-Cap,Large Blend,F00000Z9DG
100664,UTI Core Equity Reg Gr,Large & Mid-Cap,Large Blend,F0GBR06RKT
100668,UTI Flexi Cap Reg IDCW-R,Flexi Cap,Large Growth,F00000Z9AG
100669,UTI Flexi Cap Reg Gr,Flexi Cap,Large Growth,F0GBR06RJG
100684,UTI Hybrid Equity Reg Gr,Aggressive Allocation,Large Blend,F0GBR06RIY
100685,UTI Hybrid Equity Reg IDCW-R,Aggressive Allocation,Large Blend,F00000Z99E
100723,UTI Money Market Reg Gr(Discon),Money Market,,F0GBR06RL5
100724,UTI Money Market Reg IDCW-R(Discon),Money Market,,F00000Z9CE
100725,UTI Money Market Reg Per IDCW-R(Discon),Money Market,,F00000Z9CP
100739,UTI MNC Reg IDCW-R,Equity - Other,Large Blend,F00000Z9CB
100740,UTI MNC Reg Gr,Equity - Other,Large Blend,F0GBR06RL3
100741,UTI Bond Reg Gr,Medium to Long Duration,,F0GBR06RJ4
100742,UTI Bond Reg IDCW-R,Medium to Long Duration,,F00000Z99Y
100780,Sundaram Banking & PSU Dbt Mn IDCW-R,Banking & PSU,,F00000Z93P
100781,Sundaram Banking & PSU Dbt Gr,Banking & PSU,,F0GBR06RAF
100782,Sundaram Banking & PSU Dbt Reg Dl IDCW-R,Banking & PSU,,F0GBR06RAE
100783,Sundaram Banking & PSU Dbt Reg Wk IDCW-R,Banking & PSU,,F0GBR06RAI
100784,Sundaram Banking & PSU Dbt Reg Gr,Banking & PSU,,F0GBR06RAG
100785,Sundaram Corp Bond Mn IDCW-R,Corporate Bond,,F00000Z94A
100786,Sundaram Corp Bond Qt IDCW-R,Corporate Bond,,F00000Z94B
100787,Sundaram Corp Bond HY IDCW-R,Corporate Bond,,F00000Z948
100788,Sundaram Corp Bond Yr IDCW-R,Corporate Bond,,F00000Z94C
100789,Sundaram Corp Bond Gr,Corporate Bond,,F0GBR06RA7
100790,Sundaram Corp Bond IP Mn IDCW-R,Corporate Bond,,F00000Z949
100791,,,,
100792,,,,
100793,Sundaram Banking & PSU Dbt Reg Mn IDCW-R,Banking & PSU,,F00000Z93Q
100794,Sundaram Small Cap IDCW-R,Small-Cap,Small Growth,F00000Z95M
100795,Sundaram Small Cap Gr,Small-Cap,Small Growth,F0GBR06RBQ
100796,,,,
100797,,,,
100798,,,,
100799,,,,
100806,UTI Healthcare Reg IDCW-R,Sector - Healthcare,Mid Growth,F00000Z9CZ
100807,UTI Healthcare Reg Gr,Sector - Healthcare,Mid Growth,F0GBR06RK7
100813,UTI Overnight Reg IDCW-R,Overnight,,F00000Z9B0
100814,UTI Overnight Reg Gr,Overnight,,F0GBR06RJS
100820,UTI Long Term Equity Reg IDCW-P,ELSS,Large Growth,F0GBR06RJH
100821,UTI Long Term Equity Reg Gr,ELSS,Large Growth,F0GBR06RJI
100822,UTI Nifty Index Reg Gr,Index Funds,Large Blend,F0GBR06RLA
100823,UTI Nifty Index Reg IDCW-R,Index Funds,Large Blend,F00000Z9CV
100828,,,,
100829,,,,
100830,,,,
100832,,,,
100833,Kotak Liquid Reg Dl IDCW-R,Liquid,,F0GBR06RX9
100834,Kotak Liquid Reg Wk IDCW-P,Liquid,,F0GBR06RXC
100835,Kotak Liquid Reg Gr,Liquid,,F0GBR06RXB
100837,Nippon India Liquid Retl Gr,Liquid,,F0GBR06R4F
100838,Nippon India Liquid Retl Wk IDCW-R,Liquid,,F0GBR06R4H
100842,Nippon India Liquid Retl Dl IDCW-R,Liquid,,F0GBR06R4E
100843,Nippon India Liquid Retl Mn IDCW-R,Liquid,,F00000Z8XR
100844,Nippon India Liquid Retl Qt IDCW-R,Liquid,,F00000Z8XS
100851,Nippon India Liquid Gr,Liquid,,F0GBR06R4B
100852,Nippon India Liquid Dl IDCW-R,Liquid,,F0GBR06R4A
100853,Nippon India Liquid Wk IDCW-R,Liquid,,F0GBR06R4D
100855,Nippon India Liquid Mn IDCW-R,Liquid,,F00000Z8XP
100856,Nippon India Corporate Bd Gr,Corporate Bond,,F0GBR06R4V
100857,Nippon India Corporate Bd Mn IDCW-R,Corporate Bond,,F00000Z8Y4
100858,Nippon India Corporate Bd Qt IDCW-R,Corporate Bond,,F00000Z8Y5
100859,Nippon India Corporate Bd Bns,Corporate Bond,,F0GBR06R4U
100864,LIC MF Tax IDCW-R,ELSS,Large Growth,F00000Z8RE
100865,LIC MF Tax Gr,ELSS,Large Growth,F0GBR06RZ9
100868,HDFC Liquid Gr,Liquid,,F0GBR06RNM
100872,,,,
100874,HDFC Liquid Wk IDCW-P,Liquid,,F0GBR06RNV
100875,HDFC Liquid Dl IDCW-R,Liquid,,F0GBR06RNK
100876,HDFC Liquid Mn IDCW-R,Liquid,,F00000Z828
100878,,,,
100881,,,,
100895,Principal Cash Mgmt Dl IDCW-R,Liquid,,F0GBR06RZQ
100896,Principal Cash Mgmt Wk IDCW-R,Liquid,,F00000Z8U4
100897,Principal Cash Mgmt Mn IDCW-R,Liquid,,F00000Z8U3
100898,Principal Cash Mgmt Gr,Liquid,,F0GBR06RZP
100915,SBI Contra Reg IDCW-R,Contra,Large Blend,F00000Z90M
100927,SBI Debt Hybrid Fund Reg Mn IDCW-R,Conservative Allocation,Mid Growth,F00000Z927
